gene,variable,pval,FDR,ensembl_gene_id,CHR,start,end,entrezgene_id
EXD3,conditionTB,0.0084,0.012598197,ENSG00000187609,9,137306896,137423211,54932
EXO1,conditionTB,0.054,0.072096321,ENSG00000174371,1,241847967,241895148,9156
EXO5,conditionTB,0.82,0.844478514,ENSG00000164002,1,40508741,40516038,64789
EXOC1,conditionTB,0.029,0.040450035,ENSG00000090989,4,55853648,55905086,55763
EXOC2,conditionTB,0.66,0.70120295,ENSG00000112685,6,485154,693139,55770
EXOC3,conditionTB,0,0,ENSG00000180104,5,443175,471937,11336
EXOC3L1,conditionTB,0.74,0.774303902,ENSG00000179044,16,67184379,67190185,283849
EXOC3L4,conditionTB,9.70E-04,0.001626211,ENSG00000205436,14,103100144,103110559,91828
EXOC4,conditionTB,8.10E-09,2.06E-08,ENSG00000131558,7,133253073,134066589,60412
EXOC5,conditionTB,8.70E-05,1.61E-04,ENSG00000070367,14,57200507,57268905,10640
EXOC6,conditionTB,3.60E-07,8.16E-07,ENSG00000138190,10,92826831,93059493,54536
EXOC6B,conditionTB,0.013,0.019033428,ENSG00000144036,2,72175984,72826041,23233
EXOC7,conditionTB,9.20E-12,2.80E-11,ENSG00000182473,17,76081016,76121576,23265
EXOC8,conditionTB,1.10E-16,4.29E-16,ENSG00000116903,1,231332753,231337852,149371
EXOG,conditionTB,0.067,0.087923734,ENSG00000157036,3,38496127,38542161,9941
EXOSC1,conditionTB,0.0081,0.012175707,ENSG00000171311,10,97435909,97446017,51013
EXOSC10,conditionTB,1.20E-04,2.20E-04,ENSG00000171824,1,11066618,11099869,5394
EXOSC2,conditionTB,4.30E-05,8.19E-05,ENSG00000130713,9,130693721,130704894,23404
EXOSC3,conditionTB,0.53,0.578980453,ENSG00000107371,9,37759234,37832117,51010
EXOSC4,conditionTB,1.50E-06,3.24E-06,ENSG00000178896,8,144078648,144080648,54512
EXOSC5,conditionTB,2.60E-12,8.15E-12,ENSG00000077348,19,41386374,41397359,56915
EXOSC6,conditionTB,0.0063,0.009613761,ENSG00000223496,16,70246778,70251940,118460
EXOSC7,conditionTB,3.60E-10,9.97E-10,ENSG00000075914,3,44975241,45036066,23016
EXOSC8,conditionTB,0.15,0.184765935,ENSG00000120699,13,36998816,37009614,11340
EXOSC9,conditionTB,1.40E-15,5.19E-15,ENSG00000123737,4,121801318,121817021,5393
EXPH5,conditionTB,3.00E-11,8.84E-11,ENSG00000110723,11,108505435,108593768,23086
EXT1,conditionTB,3.00E-04,5.29E-04,ENSG00000182197,8,117794490,118111826,2131
EXT2,conditionTB,0.0063,0.009613761,ENSG00000151348,11,44095648,44251962,2132
EXTL2,conditionTB,0.015,0.021781334,ENSG00000162694,1,100872372,100895179,2135
EXTL3,conditionTB,6.80E-05,1.28E-04,ENSG00000012232,8,28600469,28755599,2137
EYA2,conditionTB,3.80E-05,7.27E-05,ENSG00000064655,20,46894624,47188844,2139
EYA3,conditionTB,0,0,ENSG00000158161,1,27970344,28088637,2140
EYA4,conditionTB,4.60E-12,1.42E-11,ENSG00000112319,6,133240514,133532128,2070
EYS,conditionTB,0.59,0.635972844,ENSG00000188107,6,63719980,65707226,346007
EZH1,conditionTB,4.90E-06,1.02E-05,ENSG00000108799,17,42700275,42745049,2145
EZH2,conditionTB,0,0,ENSG00000106462,7,148807257,148884321,2146
EZR,conditionTB,0,0,ENSG00000092820,6,158765741,158819368,7430
F11R,conditionTB,5.00E-11,1.46E-10,ENSG00000158769,1,160995211,161021343,50848
F12,conditionTB,0.45,0.500071582,ENSG00000131187,5,177402141,177409564,2161
F13A1,conditionTB,0.73,0.765905234,ENSG00000124491,6,6144084,6321013,2162
F2R,conditionTB,0,0,ENSG00000181104,5,76716126,76735770,2149
F2RL1,conditionTB,0.44,0.489894015,ENSG00000164251,5,76818933,76835315,2150
F2RL2,conditionTB,0.014,0.02041198,ENSG00000164220,5,76615482,76623413,2151
F2RL3,conditionTB,8.70E-04,0.001464182,ENSG00000127533,19,16888999,16892606,9002
F3,conditionTB,0,0,ENSG00000018236,1,94529173,94541759,2152
F5,conditionTB,4.70E-13,1.54E-12,ENSG00000198734,1,169511951,169586588,2153
F8,conditionTB,0.044,0.059634106,ENSG00000185010,X,154835788,155026940,2157
F8A1,conditionTB,0.46,0.510088889,ENSG00000277203,X,154886355,154888061,8263
F8A3,conditionTB,0.059,0.07818913,ENSG00000277150,X,155456914,155458620,474384
FAAH,conditionTB,3.90E-05,7.45E-05,ENSG00000103089,1,46394317,46413848,2166
FAAH2,conditionTB,0,0,ENSG00000165591,X,57286706,57489193,158584
FAAP100,conditionTB,9.90E-06,2.00E-05,ENSG00000185504,17,81539885,81553961,80233
FAAP20,conditionTB,0.045,0.060883122,ENSG00000162585,1,2184461,2212720,199990
FAAP24,conditionTB,1.50E-05,2.97E-05,ENSG00000131944,19,32972209,32978229,91442
FABP3,conditionTB,0.5,0.549732452,ENSG00000121769,1,31365253,31376850,2170
FABP4,conditionTB,0.67,0.71053055,ENSG00000170323,8,81478419,81483236,2167
FABP5,conditionTB,7.30E-14,2.50E-13,ENSG00000164687,8,81280536,81284777,2171
FADD,conditionTB,0,0,ENSG00000168040,11,70203296,70207390,8772
FADS1,conditionTB,0,0,ENSG00000149485,11,61799627,61829318,3992
FADS2,conditionTB,3.50E-05,6.72E-05,ENSG00000134824,11,61792980,61867354,9415
FADS3,conditionTB,6.70E-16,2.53E-15,ENSG00000221968,11,61873519,61892051,3995
FAF1,conditionTB,6.70E-16,2.53E-15,ENSG00000185104,1,50437028,50960267,11124
FAF2,conditionTB,4.70E-13,1.54E-12,ENSG00000113194,5,176447628,176510074,23197
FAH,conditionTB,0,0,ENSG00000103876,15,80152490,80186946,2184
FAHD1,conditionTB,1.70E-13,5.69E-13,ENSG00000180185,16,1826941,1840207,81889
FAHD2A,conditionTB,0.31,0.357753366,ENSG00000115042,2,95402708,95416616,51011
FAHD2B,conditionTB,0.93,0.939005637,ENSG00000144199,2,97083583,97094882,151313
FAIM,conditionTB,0,0,ENSG00000158234,3,138608606,138633376,55179
FAM101B,conditionTB,0.0018,0.002923692,ENSG00000183688,17,439978,445939,359845
FAM102A,conditionTB,2.90E-08,7.10E-08,ENSG00000167106,9,127940582,127980989,399665
FAM102B,conditionTB,0.96,0.964278936,ENSG00000162636,1,108560089,108644900,284611
FAM103A1,conditionTB,0.43,0.479907341,ENSG00000169612,15,82986210,82991057,83640
FAM104A,conditionTB,0.45,0.500071582,ENSG00000133193,17,73207353,73236753,84923
FAM104B,conditionTB,5.10E-04,8.79E-04,ENSG00000182518,X,55143102,55161310,90736
FAM105A,conditionTB,0,0,ENSG00000145569,5,14581792,14616180,54491
FAM106A,conditionTB,0.94,0.947459241,ENSG00000273018,17,18511221,18551705,
FAM107B,conditionTB,0,0,ENSG00000065809,10,14518557,14774897,83641
FAM109A,conditionTB,0,0,ENSG00000198324,12,111360651,111369121,144717
FAM109B,conditionTB,0.019,0.027191232,ENSG00000177096,22,42074248,42079438,150368
FAM110A,conditionTB,0.0088,0.013155746,ENSG00000125898,20,833715,857463,83541
FAM110B,conditionTB,0.12,0.150519795,ENSG00000169122,8,57994509,58204279,90362
FAM111A,conditionTB,6.70E-04,0.001141058,ENSG00000166801,11,59142748,59155039,63901
FAM111B,conditionTB,0.021,0.029879022,ENSG00000189057,11,59107185,59127412,374393
FAM114A1,conditionTB,2.90E-11,8.55E-11,ENSG00000197712,4,38867677,38945739,92689
FAM114A2,conditionTB,0.88,0.897471533,ENSG00000055147,5,153990148,154038936,10827
FAM117A,conditionTB,0,0,ENSG00000121104,17,49710332,49789180,81558
FAM117B,conditionTB,0.18,0.218540146,ENSG00000138439,2,202634969,202769757,150864
FAM118A,conditionTB,1.90E-05,3.73E-05,ENSG00000100376,22,45308968,45341955,55007
FAM118B,conditionTB,1.50E-05,2.97E-05,ENSG00000197798,11,126211724,126262984,79607
FAM120A,conditionTB,0,0,ENSG00000048828,9,93451685,93566112,23196
FAM120AOS,conditionTB,1.90E-13,6.35E-13,ENSG00000188938,9,93431441,93453581,158293
FAM120B,conditionTB,0.15,0.184765935,ENSG00000112584,6,170290703,170407067,84498
FAM120C,conditionTB,3.90E-08,9.46E-08,ENSG00000184083,X,54068324,54183281,54954
FAM122A,conditionTB,0.25,0.294519393,ENSG00000187866,9,68780065,68785566,116224
FAM122B,conditionTB,0.27,0.315896835,ENSG00000156504,X,134769566,134797232,159090
FAM122C,conditionTB,0,0,ENSG00000156500,X,134796395,134854835,159091
FAM124A,conditionTB,0,0,ENSG00000150510,13,51222334,51284239,220108
FAM126A,conditionTB,0,0,ENSG00000122591,7,22889371,23014130,84668
FAM126B,conditionTB,0.057,0.075761416,ENSG00000155744,2,200973718,201071671,285172
FAM127A,conditionTB,0.034,0.047011183,ENSG00000134590,X,135032355,135033546,8933
FAM127B,conditionTB,0.7,0.737920628,ENSG00000203950,X,135050932,135052196,26071
FAM127C,conditionTB,1.60E-06,3.45E-06,ENSG00000212747,X,135020513,135022542,441518
FAM129A,conditionTB,0,0,ENSG00000135842,1,184790724,184974508,116496
FAM129B,conditionTB,2.00E-06,4.29E-06,ENSG00000136830,9,127505339,127578989,64855
FAM129C,conditionTB,0.0017,0.002769313,ENSG00000167483,19,17523301,17553839,199786
FAM131A,conditionTB,2.50E-04,4.43E-04,ENSG00000175182,3,184335926,184348421,131408
FAM131B,conditionTB,1.70E-05,3.35E-05,ENSG00000159784,7,143353400,143362770,9715
FAM132B,conditionTB,0.006,0.009173999,ENSG00000178752,2,238158970,238168900,151176
FAM133B,conditionTB,4.50E-05,8.56E-05,ENSG00000234545,7,92560758,92590393,257415
FAM134A,conditionTB,0,0,ENSG00000144567,2,219176225,219185475,79137
FAM134B,conditionTB,0.012,0.017630284,ENSG00000154153,5,16473038,16617101,54463
FAM134C,conditionTB,7.30E-06,1.49E-05,ENSG00000141699,17,42579513,42610623,162427
FAM135A,conditionTB,0.71,0.747278343,ENSG00000082269,6,70412941,70561174,57579
FAM136A,conditionTB,0,0,ENSG00000035141,2,70295975,70302090,84908
FAM13A,conditionTB,0,0,ENSG00000138640,4,88725955,89111398,10144
FAM13B,conditionTB,6.30E-05,1.19E-04,ENSG00000031003,5,137937960,138051961,51306
FAM149B1,conditionTB,0.38,0.429907692,ENSG00000138286,10,73168119,73244504,317662
FAM150B,conditionTB,0.76,0.791378745,ENSG00000189292,2,279558,288851,285016
FAM151B,conditionTB,0.61,0.655054954,ENSG00000152380,5,80487969,80542563,167555
FAM153A,conditionTB,0.03,0.041753163,ENSG00000170074,5,177707981,177783398,285596
FAM153B,conditionTB,0.0043,0.006691869,ENSG00000182230,5,176060689,176116015,202134
FAM156A,conditionTB,0,0,ENSG00000268350,X,52926402,52995472,29057
FAM156B,conditionTB,0.19,0.229385639,ENSG00000179304,X,52891306,52908560,727866
FAM159A,conditionTB,0.003,0.004746999,ENSG00000182183,1,52633168,52669683,348378
FAM160A1,conditionTB,0.87,0.889090111,ENSG00000164142,4,151409176,151670503,729830
FAM160A2,conditionTB,0,0,ENSG00000051009,11,6211345,6234711,84067
FAM160B1,conditionTB,0,0,ENSG00000151553,10,114821744,114899832,57700
FAM160B2,conditionTB,0.056,0.074517333,ENSG00000158863,8,22089150,22104911,64760
FAM161A,conditionTB,0.11,0.138761286,ENSG00000170264,2,61824848,61854143,84140
FAM161B,conditionTB,0.34,0.388841778,ENSG00000156050,14,73931501,73950414,145483
FAM162A,conditionTB,0.076,0.098870764,ENSG00000114023,3,122384176,122412334,26355
FAM166A,conditionTB,0.0092,0.013715578,ENSG00000188163,9,137243584,137247770,401565
FAM167A,conditionTB,1.70E-13,5.69E-13,ENSG00000154319,8,11421476,11475908,83648
FAM168A,conditionTB,0,0,ENSG00000054965,11,73400487,73598189,23201
FAM168B,conditionTB,7.00E-08,1.67E-07,ENSG00000152102,2,131047876,131093460,130074
FAM169A,conditionTB,0,0,ENSG00000198780,5,74777574,74866966,26049
FAM171A1,conditionTB,1.10E-06,2.40E-06,ENSG00000148468,10,15211643,15371289,221061
FAM171A2,conditionTB,0.021,0.029879022,ENSG00000161682,17,44353215,44363853,284069
FAM171B,conditionTB,0.14,0.173380606,ENSG00000144369,2,186694060,186765959,165215
FAM172A,conditionTB,2.40E-06,5.10E-06,ENSG00000113391,5,93617725,94111699,83989
FAM173A,conditionTB,0,0,ENSG00000103254,16,720581,722590,65990
FAM173B,conditionTB,0.0018,0.002923692,ENSG00000150756,5,10225507,10249897,134145
FAM174A,conditionTB,1.70E-04,3.07E-04,ENSG00000174132,5,100535374,100586741,345757
FAM174B,conditionTB,0.089,0.114566796,ENSG00000185442,15,92617448,92809884,400451
FAM175A,conditionTB,4.00E-04,6.97E-04,ENSG00000163322,4,83459517,83523348,84142
FAM175B,conditionTB,2.70E-04,4.78E-04,ENSG00000165660,10,124801819,124836667,23172
FAM177A1,conditionTB,0,0,ENSG00000151327,14,35044907,35113130,283635
FAM177B,conditionTB,8.80E-05,1.63E-04,ENSG00000197520,1,222737207,222750805,400823
FAM179A,conditionTB,0.0033,0.005200496,ENSG00000189350,2,28956611,29052230,165186
FAM179B,conditionTB,1.10E-11,3.33E-11,ENSG00000198718,14,44962190,45074431,23116
FAM184A,conditionTB,1.20E-05,2.40E-05,ENSG00000111879,6,118959763,119149387,79632
FAM185A,conditionTB,0.12,0.150519795,ENSG00000222011,7,102748971,102809225,222234
FAM186B,conditionTB,2.30E-10,6.44E-10,ENSG00000135436,12,49582885,49605639,84070
FAM187A,conditionTB,2.00E-06,4.29E-06,ENSG00000214447,17,44899712,44905390,100528020
FAM188A,conditionTB,0,0,ENSG00000148481,10,15778170,15860507,80013
FAM188B,conditionTB,0.9,0.914996726,ENSG00000106125,7,30771417,30892387,84182
FAM189B,conditionTB,0.019,0.027191232,ENSG00000160767,1,155247205,155255483,10712
FAM192A,conditionTB,3.30E-16,1.26E-15,ENSG00000172775,16,57152466,57186116,80011
FAM193A,conditionTB,4.30E-04,7.47E-04,ENSG00000125386,4,2536647,2732573,8603
FAM193B,conditionTB,1.90E-04,3.41E-04,ENSG00000146067,5,177519789,177554563,54540
FAM195A,conditionTB,0.95,0.955539558,ENSG00000172366,16,636817,648474,84331
FAM195B,conditionTB,0.19,0.229385639,ENSG00000225663,17,81822361,81833302,348262
FAM196A,conditionTB,0.012,0.017630284,ENSG00000188916,10,127135426,127196591,642938
FAM196B,conditionTB,1.10E-04,2.02E-04,ENSG00000204767,5,169861303,169980495,100131897
FAM198B,conditionTB,4.50E-13,1.47E-12,ENSG00000164125,4,158124474,158173318,51313
FAM199X,conditionTB,0,0,ENSG00000123575,X,104166453,104195902,139231
FAM19A2,conditionTB,3.20E-08,7.81E-08,ENSG00000198673,12,61708273,62279150,338811
FAM200A,conditionTB,0.39,0.440045223,ENSG00000221909,7,99546300,99558536,221786
FAM200B,conditionTB,0,0,ENSG00000237765,4,15681662,15690447,285550
FAM204A,conditionTB,3.10E-04,5.45E-04,ENSG00000165669,10,118297925,118342328,63877
FAM206A,conditionTB,2.90E-06,6.13E-06,ENSG00000119328,9,108934400,108950744,54942
FAM207A,conditionTB,7.00E-09,1.79E-08,ENSG00000160256,21,44940012,44976989,85395
FAM208A,conditionTB,5.50E-12,1.69E-11,ENSG00000163946,3,56620132,56683265,23272
FAM208B,conditionTB,2.10E-15,7.73E-15,ENSG00000108021,10,5684838,5763740,54906
FAM209A,conditionTB,0.76,0.791378745,ENSG00000124103,20,56517187,56526152,200232
FAM20A,conditionTB,2.60E-07,5.96E-07,ENSG00000108950,17,68535113,68601367,54757
FAM20B,conditionTB,6.40E-04,0.001093297,ENSG00000116199,1,179025804,179076567,9917
FAM20C,conditionTB,4.10E-13,1.35E-12,ENSG00000177706,7,192571,260772,56975
FAM210A,conditionTB,2.20E-06,4.70E-06,ENSG00000177150,18,13663347,13726663,125228
FAM210B,conditionTB,0,0,ENSG00000124098,20,56358974,56368663,116151
FAM212A,conditionTB,0.018,0.02583686,ENSG00000185614,3,49803261,49805030,389119
FAM212B,conditionTB,0,0,ENSG00000197852,1,111680630,111755824,55924
FAM213A,conditionTB,1.10E-15,4.10E-15,ENSG00000122378,10,80407829,80437115,84293
FAM213B,conditionTB,0.045,0.060883122,ENSG00000157870,1,2586491,2591469,127281
FAM214A,conditionTB,1.30E-12,4.14E-12,ENSG00000047346,15,52581317,52709817,56204
FAM214B,conditionTB,0.0022,0.003539252,ENSG00000005238,9,35104112,35116341,80256
FAM216A,conditionTB,0.016,0.023134844,ENSG00000204856,12,110468415,110490385,29902
FAM216B,conditionTB,5.00E-10,1.37E-09,ENSG00000179813,13,42781550,42791549,144809
FAM217B,conditionTB,0,0,ENSG00000196227,20,59933764,59948680,63939
FAM219A,conditionTB,1.00E-04,1.84E-04,ENSG00000164970,9,34398184,34458570,203259
FAM219B,conditionTB,5.20E-13,1.70E-12,ENSG00000178761,15,74899992,74906883,57184
FAM21A,conditionTB,2.30E-11,6.82E-11,ENSG00000099290,10,50067888,50133509,387680
FAM21C,conditionTB,1.50E-14,5.30E-14,ENSG00000172661,10,45727200,45792964,253725
FAM220A,conditionTB,3.30E-16,1.26E-15,ENSG00000178397,7,6329411,6348981,84792
FAM221A,conditionTB,0.78,0.808528823,ENSG00000188732,7,23680130,23703249,340277
FAM222A,conditionTB,7.00E-09,1.79E-08,ENSG00000139438,12,109713825,109770495,84915
FAM222B,conditionTB,1.50E-06,3.24E-06,ENSG00000173065,17,28755980,28855232,55731
FAM227A,conditionTB,0.24,0.283767454,ENSG00000184949,22,38578118,38656629,646851
FAM227B,conditionTB,0.79,0.817197009,ENSG00000166262,15,49326962,49620929,196951
FAM228B,conditionTB,0.53,0.578980453,ENSG00000219626,2,24076526,24169640,375190
FAM229A,conditionTB,0.5,0.549732452,ENSG00000225828,1,32361270,32364278,100128071
FAM229B,conditionTB,0.045,0.060883122,ENSG00000203778,6,112087591,112102790,619208
FAM234A,conditionTB,0,0,ENSG00000167930,16,234521,272183,83986
FAM234B,conditionTB,1.40E-13,4.72E-13,ENSG00000084444,12,13044381,13142521,57613
FAM24B,conditionTB,0.75,0.783359498,ENSG00000213185,10,122849078,122879641,196792
FAM26F,conditionTB,9.10E-07,2.00E-06,ENSG00000188820,6,116461370,116463771,441168
FAM32A,conditionTB,3.40E-04,5.96E-04,ENSG00000105058,19,16185380,16192046,26017
FAM35A,conditionTB,0,0,ENSG00000122376,10,87094161,87191465,54537
FAM3A,conditionTB,0.0077,0.011601898,ENSG00000071889,X,154506159,154516242,60343
FAM3B,conditionTB,0.53,0.578980453,ENSG00000183844,21,41304212,41357727,54097
FAM3C,conditionTB,0,0,ENSG00000196937,7,121348878,121396364,10447
FAM43A,conditionTB,1.50E-05,2.97E-05,ENSG00000185112,3,194685883,194689037,131583
FAM45A,conditionTB,0,0,ENSG00000119979,10,119104086,119137984,404636
FAM46A,conditionTB,0.084,0.108610772,ENSG00000112773,6,81491439,81752774,55603
FAM46C,conditionTB,0,0,ENSG00000183508,1,117606048,117628389,54855
FAM47E,conditionTB,0.13,0.162073704,ENSG00000189157,4,76214040,76283783,100129583
FAM49A,conditionTB,0,0,ENSG00000197872,2,16549459,16666331,81553
FAM49B,conditionTB,4.40E-04,7.63E-04,ENSG00000153310,8,129839593,130017129,51571
FAM50A,conditionTB,0.8,0.826501035,ENSG00000071859,X,154444141,154450654,9130
FAM50B,conditionTB,1.50E-07,3.50E-07,ENSG00000145945,6,3849373,3851320,26240
FAM53A,conditionTB,0.18,0.218540146,ENSG00000174137,4,1617915,1684261,152877
FAM53B,conditionTB,9.40E-06,1.90E-05,ENSG00000189319,10,124619292,124744378,9679
FAM53C,conditionTB,0,0,ENSG00000120709,5,138331935,138349729,51307/100128966
FAM57A,conditionTB,0.0021,0.003385393,ENSG00000167695,17,732412,742968,79850
FAM58A,conditionTB,1.30E-04,2.37E-04,ENSG00000262919,X,153587925,153600045,92002
FAM60A,conditionTB,0,0,ENSG00000139146,12,31280584,31327058,58516
FAM63A,conditionTB,1.20E-08,3.01E-08,ENSG00000143409,1,150996086,151008375,55793
FAM63B,conditionTB,2.80E-08,6.86E-08,ENSG00000128923,15,58771192,58861900,54629
FAM65A,conditionTB,3.10E-08,7.57E-08,ENSG00000039523,16,67518418,67546788,79567
FAM65B,conditionTB,1.80E-15,6.65E-15,ENSG00000111913,6,24804282,25042170,9750
FAM65C,conditionTB,0,0,ENSG00000042062,20,50586108,50691542,140876
FAM69A,conditionTB,1.10E-16,4.29E-16,ENSG00000154511,1,92832737,92961522,388650
FAM69B,conditionTB,0.026,0.03652076,ENSG00000165716,9,136712572,136724742,138311
FAM71A,conditionTB,5.20E-11,1.51E-10,ENSG00000162771,1,212624474,212626775,149647
FAM71E1,conditionTB,0.64,0.682757883,ENSG00000142530,19,50466785,50476848,112703
FAM71F2,conditionTB,3.30E-11,9.70E-11,ENSG00000205085,7,128671693,128687877,346653
FAM72A,conditionTB,0.14,0.173380606,ENSG00000196550,1,206186179,206204414,729533
FAM72B,conditionTB,0.45,0.500071582,ENSG00000188610,1,121167646,121185539,653820
FAM72C,conditionTB,0.23,0.273122557,ENSG00000263513,1,143955287,143971986,554282
FAM72D,conditionTB,0.24,0.283767454,ENSG00000215784,1,145095974,145112696,728833
FAM73A,conditionTB,0.45,0.500071582,ENSG00000180488,1,77779624,77879539,374986
FAM73B,conditionTB,6.80E-05,1.28E-04,ENSG00000148343,9,129036621,129072082,84895
FAM76A,conditionTB,9.50E-13,3.05E-12,ENSG00000009780,1,27725961,27763116,199870
FAM76B,conditionTB,0,0,ENSG00000077458,11,95768953,95790409,143684
FAM78A,conditionTB,0,0,ENSG00000126882,9,131258076,131276510,286336
FAM81A,conditionTB,0.027,0.037826532,ENSG00000157470,15,59372693,59523555,145773
FAM83D,conditionTB,2.90E-04,5.12E-04,ENSG00000101447,20,38926312,38953106,81610
FAM83F,conditionTB,0.039,0.053406645,ENSG00000133477,22,39994954,40043534,113828
FAM83G,conditionTB,0,0,ENSG00000188522,17,18968789,19004764,644815
FAM83H,conditionTB,0.68,0.71987877,ENSG00000180921,8,143723933,143738234,286077
FAM84B,conditionTB,7.40E-15,2.66E-14,ENSG00000168672,8,126552443,126558478,157638
FAM86B1,conditionTB,0.37,0.419954509,ENSG00000186523,8,12182096,12194133,85002
FAM89A,conditionTB,0.046,0.062133797,ENSG00000182118,1,231018958,231040254,375061
FAM89B,conditionTB,0,0,ENSG00000176973,11,65572349,65574198,23625
FAM8A1,conditionTB,0.0015,0.002455248,ENSG00000137414,6,17600302,17611715,51439
FAM90A1,conditionTB,0.0011,0.001825104,ENSG00000171847,12,8221260,8227618,55138
FAM91A1,conditionTB,8.80E-10,2.39E-09,ENSG00000176853,8,123768439,123815452,157769
FAM92A1,conditionTB,0.7,0.737920628,ENSG00000188343,8,93698561,93731527,137392
FAM96A,conditionTB,0,0,ENSG00000166797,15,64072565,64093857,84191
FAM96B,conditionTB,0.045,0.060883122,ENSG00000166595,16,66932065,66934423,51647
FAM98A,conditionTB,0,0,ENSG00000119812,2,33583660,33599382,25940
FAM98B,conditionTB,0.0083,0.012457579,ENSG00000171262,15,38454127,38487710,283742
FAM98C,conditionTB,4.70E-07,1.06E-06,ENSG00000130244,19,38403135,38409088,147965
FAN1,conditionTB,0.24,0.283767454,ENSG00000198690,15,30890559,30943108,22909
FANCA,conditionTB,0.009,0.013438923,ENSG00000187741,16,89737549,89816657,2175
FANCB,conditionTB,0.54,0.588157156,ENSG00000181544,X,14835961,14873069,2187
FANCC,conditionTB,7.80E-05,1.46E-04,ENSG00000158169,9,95099054,95426796,2176
FANCD2,conditionTB,5.90E-04,0.001010602,ENSG00000144554,3,10026370,10101932,2177
FANCE,conditionTB,8.50E-06,1.73E-05,ENSG00000112039,6,35452338,35467102,2178
FANCF,conditionTB,3.70E-04,6.46E-04,ENSG00000183161,11,22622533,22625823,2188
FANCG,conditionTB,0.84,0.862342395,ENSG00000221829,9,35073835,35079942,2189
FANCI,conditionTB,5.30E-04,9.12E-04,ENSG00000140525,15,89243945,89317261,55215
FANCL,conditionTB,0.57,0.617606824,ENSG00000115392,2,58159243,58241372,55120
FANCM,conditionTB,0.016,0.023134844,ENSG00000187790,14,45135930,45200890,57697
FAR1,conditionTB,3.10E-10,8.62E-10,ENSG00000197601,11,13668668,13732346,84188
FAR2,conditionTB,4.00E-04,6.97E-04,ENSG00000064763,12,29149103,29340980,55711
FARP1,conditionTB,0.79,0.817197009,ENSG00000152767,13,98142562,98455176,10160
FARP2,conditionTB,2.10E-06,4.50E-06,ENSG00000006607,2,241356285,241494841,9855
FARS2,conditionTB,0.53,0.578980453,ENSG00000145982,6,5261044,5829192,10667
FARSA,conditionTB,0,0,ENSG00000179115,19,12922479,12934037,2193
FARSB,conditionTB,0.059,0.07818913,ENSG00000116120,2,222566899,222656092,10056
FAS,conditionTB,0,0,ENSG00000026103,10,88990531,89017059,355
FASLG,conditionTB,0,0,ENSG00000117560,1,172659103,172666876,356
FASN,conditionTB,0.03,0.041753163,ENSG00000169710,17,82078338,82098294,2194
FASTK,conditionTB,0.18,0.218540146,ENSG00000164896,7,151076593,151080866,10922
FASTKD1,conditionTB,0,0,ENSG00000138399,2,169528508,169573875,79675
FASTKD2,conditionTB,0.68,0.71987877,ENSG00000118246,2,206765357,206796189,22868
FASTKD3,conditionTB,0.019,0.027191232,ENSG00000124279,5,7859159,7869037,79072
FASTKD5,conditionTB,1.60E-06,3.45E-06,ENSG00000215251,20,3146519,3159865,60493
FAT2,conditionTB,0,0,ENSG00000086570,5,151504092,151591331,2196
FAT4,conditionTB,0.0024,0.003844182,ENSG00000196159,4,125314918,125492932,79633
FAU,conditionTB,0,0,ENSG00000149806,11,65120630,65122177,2197
FAXDC2,conditionTB,3.00E-06,6.33E-06,ENSG00000170271,5,154818492,154859252,10826
FBF1,conditionTB,0.063,0.083033299,ENSG00000188878,17,75909574,75941140,85302
FBL,conditionTB,4.30E-04,7.47E-04,ENSG00000105202,19,39834458,39846379,2091
FBLIM1,conditionTB,3.80E-10,1.05E-09,ENSG00000162458,1,15756607,15786594,54751
FBLN2,conditionTB,0.2,0.240606165,ENSG00000163520,3,13549125,13638422,2199
FBLN5,conditionTB,0.28,0.326176422,ENSG00000140092,14,91869411,91947987,10516
FBLN7,conditionTB,0.013,0.019033428,ENSG00000144152,2,112138385,112188218,129804
FBN1,conditionTB,0.035,0.048307814,ENSG00000166147,15,48408313,48645721,2200
FBN2,conditionTB,7.30E-11,2.11E-10,ENSG00000138829,5,128257909,128659185,2201
FBP1,conditionTB,0,0,ENSG00000165140,9,94603133,94640249,2203
FBRS,conditionTB,0,0,ENSG00000156860,16,30658431,30670810,64319
FBRSL1,conditionTB,0.12,0.150519795,ENSG00000112787,12,132489551,132585188,57666
FBXL12,conditionTB,0.0024,0.003844182,ENSG00000127452,19,9810267,9827816,54850
FBXL13,conditionTB,0.0028,0.004447152,ENSG00000161040,7,102813230,103074843,222235
FBXL14,conditionTB,0.8,0.826501035,ENSG00000171823,12,1565993,1594581,144699
FBXL15,conditionTB,1.90E-08,4.72E-08,ENSG00000107872,10,102419189,102423136,79176
FBXL16,conditionTB,0.092,0.11805878,ENSG00000127585,16,692498,705808,146330
FBXL17,conditionTB,6.00E-08,1.44E-07,ENSG00000145743,5,107859035,108382098,64839
FBXL18,conditionTB,2.90E-04,5.12E-04,ENSG00000155034,7,5431335,5513809,80028
FBXL19,conditionTB,0.58,0.626789388,ENSG00000099364,16,30923055,30948783,54620
FBXL2,conditionTB,0.091,0.116904377,ENSG00000153558,3,33277025,33403662,25827
FBXL20,conditionTB,0.31,0.357753366,ENSG00000108306,17,39252663,39402523,84961
FBXL22,conditionTB,0.46,0.510088889,ENSG00000197361,15,63597353,63602428,283807
