ensembl_gene_id	gene_biotype	hgnc_symbol
ENSG00000213145	protein_coding	CRIP1
ENSG00000134909	protein_coding	ARHGAP32
ENSG00000112655	protein_coding	PTK7
ENSG00000179119	protein_coding	SPTY2D1
ENSG00000282250	unitary_pseudogene	ADAM5
ENSG00000242041	processed_pseudogene	
ENSG00000239780	processed_pseudogene	RPLP0P11
ENSG00000257253	lincRNA	
ENSG00000203747	protein_coding	FCGR3A
ENSG00000217791	processed_pseudogene	ASS1P9
ENSG00000224086	antisense	
ENSG00000219074	processed_pseudogene	SOD1P1
ENSG00000111670	protein_coding	GNPTAB
ENSG00000229600	lincRNA	
ENSG00000188603	protein_coding	CLN3
ENSG00000261433	lincRNA	
ENSG00000198723	protein_coding	C19orf45
ENSG00000231143	lincRNA	
ENSG00000176393	protein_coding	RNPEP
ENSG00000170456	protein_coding	DENND5B
ENSG00000102445	protein_coding	KIAA0226L
ENSG00000236736	processed_pseudogene	UQCRC2P1
ENSG00000127564	protein_coding	PKMYT1
ENSG00000162148	protein_coding	PPP1R32
ENSG00000233426	processed_pseudogene	EIF3FP3
ENSG00000166523	protein_coding	CLEC4E
ENSG00000182934	protein_coding	SRPR
ENSG00000204913	protein_coding	LRRC3C
ENSG00000106105	protein_coding	GARS
ENSG00000254646	unprocessed_pseudogene	OR8B10P
ENSG00000249883	lincRNA	
ENSG00000253460	IG_V_pseudogene	IGKV2OR22-3
ENSG00000273575	protein_coding	KIR2DL4
ENSG00000255315	unprocessed_pseudogene	OR8A3P
ENSG00000100365	protein_coding	NCF4
ENSG00000231884	processed_pseudogene	NDUFB1P1
ENSG00000259734	antisense	
ENSG00000269534	antisense	
ENSG00000273540	sense_intronic	
ENSG00000248197	lincRNA	LINC00290
ENSG00000213275	processed_pseudogene	IFITM9P
ENSG00000254937	unprocessed_pseudogene	
ENSG00000163564	protein_coding	PYHIN1
ENSG00000260125	antisense	AGBL1-AS1
ENSG00000261190	processed_transcript	C16orf97
ENSG00000269321	antisense	
ENSG00000161551	protein_coding	ZNF577
ENSG00000170953	protein_coding	OR8B12
ENSG00000258375	processed_pseudogene	
ENSG00000277181	protein_coding	KIR3DL2
ENSG00000114784	protein_coding	EIF1B
ENSG00000068079	protein_coding	IFI35
ENSG00000172927	protein_coding	MYEOV
ENSG00000124333	protein_coding	VAMP7
ENSG00000146414	protein_coding	SHPRH
ENSG00000235627	processed_pseudogene	SNRPFP4
ENSG00000188596	protein_coding	CFAP54
ENSG00000254264	IG_V_pseudogene	IGKV3OR22-2
ENSG00000258215	processed_pseudogene	
ENSG00000258026	antisense	
ENSG00000228659	antisense	LINC01201
ENSG00000226306	transcribed_processed_pseudogene	NPY6R
ENSG00000268797	protein_coding	
ENSG00000272762	processed_transcript	
ENSG00000133704	protein_coding	IPO8
ENSG00000197457	protein_coding	STMN3
ENSG00000269843	lincRNA	
ENSG00000237118	unitary_pseudogene	CYP2F2P
ENSG00000269842	lincRNA	
ENSG00000237589	processed_pseudogene	HMGN1P32
ENSG00000240761	processed_pseudogene	
ENSG00000229000	processed_pseudogene	SEPT7P8
ENSG00000242622	lincRNA	
ENSG00000238150	processed_pseudogene	
ENSG00000233579	processed_pseudogene	KRT8P15
ENSG00000132016	protein_coding	C19orf57
ENSG00000179029	protein_coding	TMEM107
ENSG00000229151	antisense	
ENSG00000197444	protein_coding	OGDHL
ENSG00000269877	lincRNA	
ENSG00000269564	lincRNA	
ENSG00000261857	protein_coding	MIA
ENSG00000138944	protein_coding	KIAA1644
ENSG00000214782	protein_coding	MS4A18
ENSG00000268970	sense_intronic	
ENSG00000254408	unprocessed_pseudogene	OR4A1P
ENSG00000223761	lincRNA	
ENSG00000247373	lincRNA	
ENSG00000260490	processed_pseudogene	MYL12BP1
ENSG00000253626	protein_coding	EIF5AL1
ENSG00000068885	protein_coding	IFT80
ENSG00000253481	IG_V_pseudogene	IGKV1OR22-1
ENSG00000261581	unprocessed_pseudogene	HERC2P11
ENSG00000277997	lincRNA	
ENSG00000282515	processed_transcript	
ENSG00000228205	processed_pseudogene	
ENSG00000179639	protein_coding	FCER1A
ENSG00000276519	lincRNA	
ENSG00000267638	antisense	
ENSG00000275569	antisense	
ENSG00000271653	lincRNA	
ENSG00000214301	processed_pseudogene	
ENSG00000236388	antisense	ITCH-AS1
ENSG00000149636	protein_coding	DSN1
ENSG00000226530	lincRNA	
ENSG00000218868	processed_pseudogene	CNN3P1
ENSG00000151461	protein_coding	UPF2
ENSG00000255094	lincRNA	
ENSG00000259483	lincRNA	
ENSG00000264434	antisense	
ENSG00000254472	unprocessed_pseudogene	OR4A49P
ENSG00000272832	lincRNA	
ENSG00000227351	processed_pseudogene	NANOGP6
ENSG00000235779	lincRNA	
ENSG00000187690	protein_coding	CXorf67
ENSG00000269944	sense_intronic	
ENSG00000220702	lincRNA	
ENSG00000249518	processed_pseudogene	
ENSG00000112799	protein_coding	LY86
ENSG00000228964	protein_coding	HLA-B
ENSG00000254873	antisense	
ENSG00000250983	processed_pseudogene	
ENSG00000227303	antisense	
ENSG00000240859	lincRNA	
ENSG00000235539	processed_pseudogene	MTND1P33
ENSG00000229028	transcribed_unprocessed_pseudogene	KRT223P
ENSG00000282020	antisense	
ENSG00000280296	TEC	
ENSG00000231618	protein_coding	PPT2
ENSG00000125826	protein_coding	RBCK1
ENSG00000167283	protein_coding	ATP5L
ENSG00000243675	processed_pseudogene	
ENSG00000261317	antisense	
ENSG00000279124	unprocessed_pseudogene	
ENSG00000198795	protein_coding	ZNF521
ENSG00000186513	protein_coding	OR9Q2
ENSG00000236873	protein_coding	AGPAT1
ENSG00000260170	protein_coding	
ENSG00000242329	processed_pseudogene	
ENSG00000279730	processed_pseudogene	
ENSG00000164045	protein_coding	CDC25A
ENSG00000177946	protein_coding	CENPBD1
ENSG00000271778	sense_intronic	
ENSG00000115956	protein_coding	PLEK
ENSG00000272247	antisense	
ENSG00000273633	protein_coding	CDC42EP5
ENSG00000163938	protein_coding	GNL3
ENSG00000111058	protein_coding	ACSS3
ENSG00000126749	protein_coding	EMG1
ENSG00000076053	protein_coding	RBM7
ENSG00000115652	protein_coding	UXS1
ENSG00000165195	protein_coding	PIGA
ENSG00000241352	processed_pseudogene	
ENSG00000240207	antisense	
ENSG00000251471	lincRNA	
ENSG00000279231	unprocessed_pseudogene	
ENSG00000135248	protein_coding	FAM71F1
ENSG00000249993	antisense	BFSP2-AS1
ENSG00000228116	protein_coding	PPT2
ENSG00000140968	protein_coding	IRF8
ENSG00000250161	processed_pseudogene	TRMT112P5
ENSG00000145191	protein_coding	EIF2B5
ENSG00000249820	processed_pseudogene	
ENSG00000206159	transcribed_unprocessed_pseudogene	GYG2P1
ENSG00000172530	protein_coding	BANP
ENSG00000251011	antisense	TMEM108-AS1
ENSG00000259047	processed_pseudogene	
ENSG00000008128	protein_coding	CDK11A
ENSG00000235773	protein_coding	NRM
ENSG00000197887	protein_coding	OR1S2
ENSG00000101236	protein_coding	RNF24
ENSG00000236947	lincRNA	
ENSG00000249901	antisense	
ENSG00000262768	antisense	
ENSG00000157379	protein_coding	DHRS1
ENSG00000271154	processed_pseudogene	
ENSG00000260317	lincRNA	
ENSG00000142405	protein_coding	NLRP12
ENSG00000135763	protein_coding	URB2
ENSG00000268486	transcribed_unprocessed_pseudogene	
ENSG00000100038	protein_coding	TOP3B
ENSG00000162374	protein_coding	ELAVL4
ENSG00000170788	protein_coding	DYDC1
ENSG00000141570	protein_coding	CBX8
ENSG00000167671	protein_coding	UBXN6
ENSG00000091137	protein_coding	SLC26A4
ENSG00000235637	antisense	
ENSG00000271216	lincRNA	LINC01050
ENSG00000251627	processed_pseudogene	
ENSG00000272455	lincRNA	
ENSG00000228680	antisense	
ENSG00000248428	lincRNA	
ENSG00000229546	lincRNA	LINC00428
ENSG00000253923	processed_pseudogene	
ENSG00000237112	protein_coding	GABBR1
ENSG00000124279	protein_coding	FASTKD3
ENSG00000271612	processed_pseudogene	HSPE1P14
ENSG00000275571	protein_coding	TTC34
ENSG00000129696	protein_coding	TTI2
ENSG00000224093	antisense	
ENSG00000077264	protein_coding	PAK3
ENSG00000184719	protein_coding	RNLS
ENSG00000232240	processed_pseudogene	
ENSG00000279354	TEC	
ENSG00000280739	processed_transcript	EIF1B-AS1
ENSG00000259790	transcribed_processed_pseudogene	ANP32BP1
ENSG00000225101	unprocessed_pseudogene	OR52K3P
ENSG00000224089	protein_coding	CT47A10
ENSG00000260314	protein_coding	MRC1
ENSG00000236806	processed_pseudogene	RPL7AP15
ENSG00000224375	lincRNA	
ENSG00000183791	protein_coding	TCEB3C
ENSG00000226015	processed_pseudogene	CCT8P1
ENSG00000255432	protein_coding	
ENSG00000135093	protein_coding	USP30
ENSG00000251485	processed_pseudogene	
ENSG00000267707	antisense	
ENSG00000182447	protein_coding	OTOL1
ENSG00000181788	protein_coding	SIAH2
ENSG00000094661	protein_coding	OR1I1
ENSG00000130508	protein_coding	PXDN
ENSG00000218857	processed_pseudogene	
ENSG00000165462	protein_coding	PHOX2A
ENSG00000163873	protein_coding	GRIK3
ENSG00000235926	processed_pseudogene	
ENSG00000268655	lincRNA	
ENSG00000261430	sense_intronic	
ENSG00000211727	TR_V_gene	TRBV7-6
ENSG00000233134	unprocessed_pseudogene	
ENSG00000236766	processed_transcript	MDC1-AS1
ENSG00000162814	protein_coding	SPATA17
ENSG00000263680	lincRNA	
ENSG00000225140	antisense	
ENSG00000222047	protein_coding	C10orf55
ENSG00000225805	protein_coding	
ENSG00000279543	TEC	
ENSG00000243514	processed_pseudogene	RPL32P33
ENSG00000267170	processed_pseudogene	CALM2P1
ENSG00000224563	antisense	LPP-AS1
ENSG00000237188	antisense	
ENSG00000270678	processed_pseudogene	
ENSG00000269637	processed_pseudogene	RPL12P41
ENSG00000225595	lincRNA	
ENSG00000270455	processed_pseudogene	PABPC1P5
ENSG00000180525	protein_coding	PRR26
ENSG00000269745	antisense	
ENSG00000277193	protein_coding	KIR2DS3
ENSG00000213916	processed_pseudogene	RPL13P
ENSG00000271751	lincRNA	
ENSG00000188293	protein_coding	IGFL1
ENSG00000271985	processed_pseudogene	
ENSG00000278646	protein_coding	
ENSG00000186792	protein_coding	HYAL3
ENSG00000162069	protein_coding	CCDC64B
ENSG00000076716	protein_coding	GPC4
ENSG00000232965	processed_pseudogene	RPS12P18
ENSG00000259719	lincRNA	
ENSG00000267109	lincRNA	
ENSG00000235487	protein_coding	PSORS1C1
ENSG00000215812	unprocessed_pseudogene	ZNF847P
ENSG00000211728	TR_V_gene	TRBV5-6
ENSG00000183569	protein_coding	SERHL2
ENSG00000235022	protein_coding	RNF39
ENSG00000233021	antisense	
ENSG00000225117	unprocessed_pseudogene	ARSDP1
ENSG00000254153	lincRNA	
ENSG00000274882	lincRNA	
ENSG00000280805	lincRNA	
ENSG00000133250	protein_coding	ZNF414
ENSG00000198301	protein_coding	SDAD1
ENSG00000261498	lincRNA	LINC00566
ENSG00000272416	lincRNA	
ENSG00000162194	protein_coding	LBHD1
ENSG00000231363	lincRNA	
ENSG00000185303	protein_coding	SFTPA2
ENSG00000254334	lincRNA	
ENSG00000214262	transcribed_processed_pseudogene	ANKRD36BP1
ENSG00000162413	protein_coding	KLHL21
ENSG00000267036	processed_pseudogene	
ENSG00000272325	protein_coding	NUDT3
ENSG00000100625	protein_coding	SIX4
ENSG00000278432	unprocessed_pseudogene	
ENSG00000061656	protein_coding	SPAG4
ENSG00000238246	antisense	
ENSG00000168263	protein_coding	KCNV2
ENSG00000106952	protein_coding	TNFSF8
ENSG00000186326	protein_coding	RGS9BP
ENSG00000099822	protein_coding	HCN2
ENSG00000268597	lincRNA	
ENSG00000143674	protein_coding	
ENSG00000157764	protein_coding	BRAF
ENSG00000249562	processed_pseudogene	
ENSG00000187682	protein_coding	ERAS
ENSG00000229385	antisense	
ENSG00000255608	sense_intronic	
ENSG00000276772	lincRNA	
ENSG00000223427	processed_pseudogene	
ENSG00000099814	protein_coding	CEP170B
ENSG00000214045	processed_pseudogene	
ENSG00000216519	processed_pseudogene	
ENSG00000279215	lincRNA	
ENSG00000066926	protein_coding	FECH
ENSG00000244604	processed_pseudogene	
ENSG00000263603	lincRNA	
ENSG00000227946	lincRNA	
ENSG00000240724	processed_pseudogene	RPS12P15
ENSG00000213064	protein_coding	SFT2D2
ENSG00000257037	processed_pseudogene	RARSP1
ENSG00000073464	protein_coding	CLCN4
ENSG00000279337	TEC	
ENSG00000240874	processed_pseudogene	
ENSG00000224879	sense_overlapping	
ENSG00000269967	lincRNA	
ENSG00000265185	snoRNA	SNORD3B-1
ENSG00000225610	antisense	
ENSG00000270066	lincRNA	
ENSG00000130035	protein_coding	GALNT8
ENSG00000273551	lincRNA	
ENSG00000224731	antisense	
ENSG00000237041	processed_pseudogene	
ENSG00000224587	protein_coding	MDC1
ENSG00000230237	processed_pseudogene	
ENSG00000228915	unprocessed_pseudogene	OR7E128P
ENSG00000253633	lincRNA	
ENSG00000249654	transcribed_unprocessed_pseudogene	VN1R104P
ENSG00000275210	processed_transcript	
ENSG00000162627	protein_coding	SNX7
ENSG00000237031	antisense	
ENSG00000254593	unprocessed_pseudogene	OR7E126P
ENSG00000114933	protein_coding	INO80D
ENSG00000105486	protein_coding	LIG1
ENSG00000159713	protein_coding	TPPP3
ENSG00000008083	protein_coding	JARID2
ENSG00000234192	processed_pseudogene	
ENSG00000274797	antisense	
ENSG00000108840	protein_coding	HDAC5
ENSG00000242325	processed_pseudogene	RPS12P31
ENSG00000264538	transcribed_unprocessed_pseudogene	SUZ12P1
ENSG00000196566	antisense	
ENSG00000214511	protein_coding	HIGD1C
ENSG00000237727	protein_coding	AIF1
ENSG00000275404	protein_coding	LILRA5
ENSG00000251056	unprocessed_pseudogene	ANKRD20A17P
ENSG00000165458	protein_coding	INPPL1
ENSG00000226310	antisense	
ENSG00000227660	antisense	
ENSG00000271973	lincRNA	
ENSG00000040731	protein_coding	CDH10
ENSG00000129467	protein_coding	ADCY4
ENSG00000111962	protein_coding	UST
ENSG00000256407	protein_coding	
ENSG00000274763	protein_coding	KIR3DL3
ENSG00000182952	protein_coding	HMGN4
ENSG00000261407	antisense	
ENSG00000137547	protein_coding	MRPL15
ENSG00000184007	protein_coding	PTP4A2
ENSG00000173905	protein_coding	GOLIM4
ENSG00000198682	protein_coding	PAPSS2
ENSG00000250482	processed_pseudogene	
ENSG00000160213	protein_coding	CSTB
ENSG00000196834	protein_coding	POTEI
ENSG00000164256	protein_coding	PRDM9
ENSG00000251484	processed_pseudogene	
ENSG00000235129	processed_pseudogene	FABP7P2
ENSG00000105447	protein_coding	GRWD1
ENSG00000255641	protein_coding	
ENSG00000224541	antisense	
ENSG00000169548	protein_coding	ZNF280A
ENSG00000258230	transcribed_processed_pseudogene	
ENSG00000273177	lincRNA	
ENSG00000105705	protein_coding	SUGP1
ENSG00000113361	protein_coding	CDH6
ENSG00000257767	protein_coding	
ENSG00000233783	processed_transcript	
ENSG00000144535	protein_coding	DIS3L2
ENSG00000247595	processed_transcript	SPTY2D1-AS1
ENSG00000237733	protein_coding	RNF39
ENSG00000060237	protein_coding	WNK1
ENSG00000230480	processed_pseudogene	
ENSG00000205810	protein_coding	KLRC3
ENSG00000197540	protein_coding	GZMM
ENSG00000241383	lincRNA	
ENSG00000233647	processed_pseudogene	NENFP1
ENSG00000239428	processed_pseudogene	GM2AP2
ENSG00000152661	protein_coding	GJA1
ENSG00000267414	lincRNA	
ENSG00000279837	TEC	
ENSG00000188032	protein_coding	C19orf67
ENSG00000270800	protein_coding	RPS10-NUDT3
ENSG00000277748	unprocessed_pseudogene	
ENSG00000105877	protein_coding	DNAH11
ENSG00000137197	protein_coding	CDSN
ENSG00000268238	unprocessed_pseudogene	IGFL1P2
ENSG00000125651	protein_coding	GTF2F1
ENSG00000198816	protein_coding	ZNF358
ENSG00000270127	lincRNA	
ENSG00000253959	lincRNA	
ENSG00000253774	lincRNA	
ENSG00000279026	TEC	
ENSG00000268465	protein_coding	
ENSG00000271167	lincRNA	LINC01109
ENSG00000238226	processed_transcript	HLA-DQB1-AS1
ENSG00000227036	lincRNA	LINC00511
ENSG00000259917	unprocessed_pseudogene	HNRNPLP2
ENSG00000281811	lincRNA	
ENSG00000278409	processed_transcript	
ENSG00000237120	processed_pseudogene	
ENSG00000274650	unitary_pseudogene	OR6D1P
ENSG00000253343	lincRNA	
ENSG00000261736	sense_intronic	
ENSG00000235488	antisense	JARID2-AS1
ENSG00000268530	antisense	
ENSG00000226984	processed_pseudogene	
ENSG00000233853	unprocessed_pseudogene	
ENSG00000267952	protein_coding	
ENSG00000224544	protein_coding	PSORS1C2
ENSG00000254300	lincRNA	LINC01111
ENSG00000229907	unprocessed_pseudogene	DEFB108P1
ENSG00000105186	protein_coding	ANKRD27
ENSG00000277495	protein_coding	OR13A1
ENSG00000146109	protein_coding	ABT1
ENSG00000213783	processed_pseudogene	RPL35P4
ENSG00000181965	protein_coding	NEUROG1
ENSG00000230728	sense_overlapping	
ENSG00000253130	lincRNA	
ENSG00000111275	protein_coding	ALDH2
ENSG00000261329	antisense	
ENSG00000162869	protein_coding	PPP1R21
ENSG00000182324	protein_coding	KCNJ14
ENSG00000273492	lincRNA	
ENSG00000230101	processed_pseudogene	TUBB3P2
ENSG00000188856	processed_pseudogene	RPSAP47
ENSG00000231652	antisense	
ENSG00000253661	antisense	ZFHX4-AS1
ENSG00000255663	protein_coding	
ENSG00000234333	processed_pseudogene	CYCSP53
ENSG00000236591	antisense	
ENSG00000277315	processed_pseudogene	
ENSG00000270470	processed_pseudogene	
ENSG00000225339	processed_transcript	
ENSG00000253232	processed_pseudogene	
ENSG00000234877	lincRNA	
ENSG00000157765	protein_coding	SLC34A2
ENSG00000279891	TEC	
ENSG00000165572	protein_coding	KBTBD6
ENSG00000258977	lincRNA	LINC01467
ENSG00000244265	antisense	SIAH2-AS1
ENSG00000216863	antisense	LY86-AS1
ENSG00000215604	unprocessed_pseudogene	ZNF962P
ENSG00000228384	antisense	
ENSG00000134245	protein_coding	WNT2B
ENSG00000282749	antisense	
ENSG00000215356	protein_coding	ZNF705B
ENSG00000272735	lincRNA	
ENSG00000253995	processed_pseudogene	
ENSG00000227987	sense_intronic	
ENSG00000275846	lincRNA	
ENSG00000109158	protein_coding	GABRA4
ENSG00000236469	antisense	
ENSG00000229456	processed_pseudogene	RLIMP1
ENSG00000227269	lincRNA	
ENSG00000222000	antisense	
ENSG00000277894	unprocessed_pseudogene	LILRP1
ENSG00000233367	antisense	
ENSG00000254469	protein_coding	
ENSG00000270209	processed_pseudogene	
ENSG00000234485	unprocessed_pseudogene	OR7E46P
ENSG00000157388	protein_coding	CACNA1D
ENSG00000282456	processed_transcript	
ENSG00000150907	protein_coding	FOXO1
ENSG00000278644	protein_coding	PCGF2
ENSG00000277940	unprocessed_pseudogene	
ENSG00000125384	protein_coding	PTGER2
ENSG00000270496	processed_pseudogene	BNIP3P7
ENSG00000248652	processed_pseudogene	
ENSG00000250480	processed_pseudogene	
ENSG00000270424	processed_pseudogene	
ENSG00000270412	antisense	
ENSG00000278053	protein_coding	DDX52
ENSG00000179546	protein_coding	HTR1D
ENSG00000282605	TR_V_gene	TRBV12-5
ENSG00000105443	protein_coding	CYTH2
ENSG00000177465	protein_coding	ACOT4
ENSG00000235440	processed_pseudogene	
ENSG00000172900	unitary_pseudogene	
ENSG00000260278	antisense	
ENSG00000282340	TR_V_gene	TRBV10-3
ENSG00000250507	transcribed_unprocessed_pseudogene	
ENSG00000282385	antisense	
ENSG00000144031	protein_coding	ANKRD53
ENSG00000160695	protein_coding	VPS11
ENSG00000282529	TR_V_pseudogene	TRBV8-2
ENSG00000108018	protein_coding	SORCS1
ENSG00000282135	lincRNA	
ENSG00000188831	transcribed_unprocessed_pseudogene	DPPA3P2
ENSG00000282466	TR_V_gene	TRBV5-4
ENSG00000162391	protein_coding	FAM151A
ENSG00000214110	processed_pseudogene	LDHAP4
ENSG00000125386	protein_coding	FAM193A
ENSG00000239961	protein_coding	LILRA4
ENSG00000180616	protein_coding	SSTR2
ENSG00000266162	processed_pseudogene	YWHAEP2
ENSG00000266079	snoRNA	SNORA59B
ENSG00000282291	protein_coding	SLC39A11
ENSG00000223793	protein_coding	HLA-DQA2
ENSG00000262769	antisense	
ENSG00000226318	processed_pseudogene	
ENSG00000276537	protein_coding	TTYH1
ENSG00000223959	unitary_pseudogene	AFG3L1P
ENSG00000255054	protein_coding	
ENSG00000259779	lincRNA	
ENSG00000147854	protein_coding	UHRF2
ENSG00000280543	sense_intronic	ASAP1-IT2
ENSG00000258632	processed_pseudogene	
ENSG00000010219	protein_coding	DYRK4
ENSG00000277715	antisense	
ENSG00000185988	protein_coding	PLK5
ENSG00000215156	processed_pseudogene	
ENSG00000213028	processed_pseudogene	
ENSG00000226896	unprocessed_pseudogene	OR2I1P
ENSG00000225984	processed_pseudogene	HMGB1P26
ENSG00000282391	processed_pseudogene	
ENSG00000254138	antisense	
ENSG00000227043	lincRNA	
ENSG00000282388	processed_pseudogene	
ENSG00000264263	antisense	
ENSG00000282644	IG_V_gene	
ENSG00000282329	processed_pseudogene	MREGP1
ENSG00000131652	protein_coding	THOC6
ENSG00000279932	sense_intronic	
ENSG00000229521	sense_intronic	MYCBP2-AS2
ENSG00000279271	TEC	
ENSG00000204291	protein_coding	COL15A1
ENSG00000277412	antisense	
ENSG00000124380	protein_coding	SNRNP27
ENSG00000215381	processed_pseudogene	
ENSG00000135249	protein_coding	RINT1
ENSG00000185274	protein_coding	WBSCR17
ENSG00000229886	processed_pseudogene	
ENSG00000171227	protein_coding	TMEM37
ENSG00000260156	antisense	
ENSG00000281981	TR_C_gene	TRBV25-1
ENSG00000279122	TEC	
ENSG00000119616	protein_coding	FCF1
ENSG00000276040	protein_coding	SPATA31A7
ENSG00000189184	protein_coding	PCDH18
ENSG00000212710	protein_coding	CTAGE1
ENSG00000229122	sense_intronic	AGBL5-IT1
ENSG00000220370	processed_pseudogene	
ENSG00000279412	TEC	
ENSG00000280278	TEC	
ENSG00000226242	processed_pseudogene	RPS17P8
ENSG00000168116	protein_coding	KIAA1586
ENSG00000173928	protein_coding	SWSAP1
ENSG00000144191	protein_coding	CNGA3
ENSG00000224044	unprocessed_pseudogene	UBDP1
ENSG00000186648	protein_coding	LRRC16B
ENSG00000254305	transcribed_processed_pseudogene	MRPL9P1
ENSG00000227418	lincRNA	PCGEM1
ENSG00000231238	lincRNA	LINC00349
ENSG00000265881	processed_pseudogene	PDLIM1P2
ENSG00000260944	antisense	FOXC2-AS1
ENSG00000236559	antisense	
ENSG00000264023	lincRNA	
ENSG00000254061	processed_pseudogene	
ENSG00000267277	antisense	
ENSG00000259448	lincRNA	
ENSG00000253681	sense_intronic	
ENSG00000103043	protein_coding	VAC14
ENSG00000237591	unprocessed_pseudogene	HLA-DRB9
ENSG00000126254	protein_coding	RBM42
ENSG00000277728	antisense	
ENSG00000176692	protein_coding	FOXC2
ENSG00000233905	processed_pseudogene	LONRF2P2
ENSG00000180425	protein_coding	C11orf71
ENSG00000278864	TEC	
ENSG00000246422	antisense	
ENSG00000196119	protein_coding	OR8A1
ENSG00000127445	protein_coding	PIN1
ENSG00000120314	protein_coding	WDR55
ENSG00000259772	lincRNA	
ENSG00000255341	unprocessed_pseudogene	OR8Q1P
ENSG00000259177	antisense	
ENSG00000180818	protein_coding	HOXC10
ENSG00000225684	lincRNA	FAM225B
ENSG00000198042	protein_coding	MAK16
ENSG00000132464	protein_coding	ENAM
ENSG00000154143	protein_coding	PANX3
ENSG00000142494	protein_coding	SLC47A1
ENSG00000258698	lincRNA	
ENSG00000276501	protein_coding	KIR3DL1
ENSG00000134668	protein_coding	SPOCD1
ENSG00000264497	processed_pseudogene	
ENSG00000196338	protein_coding	NLGN3
ENSG00000077782	protein_coding	FGFR1
ENSG00000107968	protein_coding	MAP3K8
ENSG00000271041	processed_pseudogene	
ENSG00000145824	protein_coding	CXCL14
ENSG00000204634	protein_coding	TBC1D8
ENSG00000170099	protein_coding	SERPINA6
ENSG00000157216	protein_coding	SSBP3
ENSG00000166226	protein_coding	CCT2
ENSG00000253315	lincRNA	
ENSG00000143494	protein_coding	VASH2
ENSG00000204065	protein_coding	TCEAL5
ENSG00000253256	antisense	
ENSG00000184292	protein_coding	TACSTD2
ENSG00000184992	protein_coding	BRI3BP
ENSG00000102109	protein_coding	PCSK1N
ENSG00000122861	protein_coding	PLAU
ENSG00000115137	protein_coding	DNAJC27
ENSG00000270367	processed_pseudogene	
ENSG00000214322	processed_pseudogene	CBX1P2
ENSG00000185839	processed_pseudogene	
ENSG00000266835	lincRNA	GAPLINC
ENSG00000278867	TEC	
ENSG00000236235	unprocessed_pseudogene	
ENSG00000171552	protein_coding	BCL2L1
ENSG00000157005	protein_coding	SST
ENSG00000176678	protein_coding	FOXL1
ENSG00000124614	protein_coding	RPS10
ENSG00000229666	antisense	MAST4-AS1
ENSG00000116273	protein_coding	PHF13
ENSG00000110768	protein_coding	GTF2H1
ENSG00000249057	sense_intronic	MAST4-IT1
ENSG00000165953	protein_coding	SERPINA12
ENSG00000240354	lincRNA	
ENSG00000266777	transcribed_processed_pseudogene	SH3GL1P1
ENSG00000109917	protein_coding	ZPR1
ENSG00000173660	protein_coding	UQCRH
ENSG00000071203	protein_coding	MS4A12
ENSG00000100711	protein_coding	ZFYVE21
ENSG00000234393	antisense	
ENSG00000277878	processed_pseudogene	
ENSG00000250167	antisense	
ENSG00000251584	lincRNA	
ENSG00000162685	processed_pseudogene	LSP1P3
ENSG00000250596	lincRNA	
ENSG00000125903	protein_coding	DEFB129
ENSG00000228532	processed_pseudogene	
ENSG00000162390	protein_coding	ACOT11
ENSG00000249112	antisense	
ENSG00000250760	transcribed_processed_pseudogene	
ENSG00000251456	sense_intronic	
ENSG00000128438	transcribed_unprocessed_pseudogene	TBC1D27
ENSG00000132465	protein_coding	JCHAIN
ENSG00000229335	antisense	
ENSG00000145569	protein_coding	FAM105A
ENSG00000235244	lincRNA	
ENSG00000229788	lincRNA	LINC00388
ENSG00000066032	protein_coding	CTNNA2
ENSG00000122417	protein_coding	ODF2L
ENSG00000255107	processed_pseudogene	
ENSG00000235577	unprocessed_pseudogene	
ENSG00000141219	protein_coding	C17orf80
ENSG00000265043	lincRNA	
ENSG00000234470	processed_pseudogene	
ENSG00000255974	protein_coding	CYP2A6
ENSG00000280393	TEC	
ENSG00000270059	sense_intronic	
ENSG00000280634	antisense	THRIL
ENSG00000240175	antisense	MAGI1-AS1
ENSG00000276212	transcribed_unprocessed_pseudogene	KIR3DP1
ENSG00000066084	protein_coding	DIP2B
ENSG00000258628	unprocessed_pseudogene	
ENSG00000270493	processed_pseudogene	
ENSG00000239684	processed_pseudogene	PTGER4P3
ENSG00000226929	protein_coding	CT47A11
ENSG00000196993	protein_coding	NPIPB9
ENSG00000239474	protein_coding	KLHL41
ENSG00000241464	processed_pseudogene	RPL39P38
ENSG00000229950	antisense	TFAP2A-AS1
ENSG00000244226	processed_pseudogene	ILF2P1
ENSG00000084693	protein_coding	AGBL5
ENSG00000271409	lincRNA	
ENSG00000242915	processed_pseudogene	SNRPGP7
ENSG00000257787	lincRNA	
ENSG00000227720	protein_coding	PPP1R11
ENSG00000102781	protein_coding	KATNAL1
ENSG00000225411	lincRNA	
ENSG00000226600	protein_coding	CT47A9
ENSG00000226027	unprocessed_pseudogene	HLA-S
ENSG00000134531	protein_coding	EMP1
ENSG00000229957	lincRNA	
ENSG00000213226	processed_pseudogene	
ENSG00000230730	antisense	
ENSG00000234736	antisense	FAM170B-AS1
ENSG00000226869	processed_transcript	LHFPL3-AS1
ENSG00000232815	unprocessed_pseudogene	DUX4L50
ENSG00000205669	protein_coding	ACOT6
